OBJECTID,COUNTRY,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
80,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
81,India,0,0,1,0,0,1,1,1,0,20,10,16,13,47,159,39,96,166,358,324,349,339,237,0,107,179,213,193,61,112,180,234,184,196,108,146,167,149,534,672,663,645,611,694,860,884,1025,966
82,Indonesia,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,2,4,0,0,2,3,7,4,0,5,24,65,27,3,60,101,105,43,18,17,15,10,2,13,19,4,21,39,32,35,29,19,27
83,International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Iran,5,11,15,4,11,13,4,5,27,82,67,108,26,10,17,3,6,1,6,6,11,9,16,0,43,8,3,0,5,8,15,4,0,2,0,5,14,9,8,15,14,13,5,11,9,9,10,11
85,Iraq,0,0,0,0,0,1,3,0,0,2,6,3,5,3,2,0,0,3,4,4,0,3,35,0,18,17,12,21,7,12,10,3,6,102,323,617,838,1047,1106,1137,1179,1308,1437,2852,3933,2751,3360,2466
86,Ireland,1,1,5,3,3,7,5,3,3,8,7,5,4,4,1,2,2,24,0,3,2,16,7,0,10,3,1,4,3,3,0,2,0,1,0,0,1,1,5,0,4,4,29,27,33,28,15,17
87,Israel,0,1,15,1,12,2,2,6,23,130,79,36,71,31,25,21,48,23,35,87,98,64,78,0,55,13,19,13,14,8,15,79,75,38,19,43,81,53,134,36,14,51,65,37,293,58,50,32
88,Italy,3,3,4,15,22,7,173,308,277,209,110,69,23,7,14,11,7,14,29,15,6,31,37,0,18,1,8,8,6,7,8,11,7,15,3,6,4,0,2,4,10,5,10,7,7,5,11,8
89,Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,7,2,1,0,0,2,1,1,0,1,1,3,1,0,0,7,3,16,4,1,4,1,13
90,Jamaica,0,0,0,0,2,0,1,0,0,2,6,1,0,0,0,0,1,0,0,0,0,1,6,0,2,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
91,Japan,2,0,0,2,3,12,1,4,35,16,0,1,2,12,15,10,10,10,16,13,93,19,40,0,9,20,8,5,1,2,13,3,2,2,0,0,0,0,3,1,0,0,0,1,5,10,1,0
92,Jordan,9,5,7,1,0,0,1,0,0,0,1,2,1,7,5,0,0,0,1,0,3,11,2,0,6,3,2,3,1,2,2,2,2,0,0,4,1,0,0,0,2,0,2,1,3,4,9,8
93,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,5,4,4,0,0,3,0
94,Kenya,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,4,0,5,30,0,5,4,3,17,2,0,4,7,2,2,0,2,2,12,11,1,12,42,80,80,115,71,65,97
95,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,60,17,5,9,1,8,6,5,11,1,1,1,4,6,4,2,8,8
96,Kuwait,0,0,1,0,1,1,1,0,1,0,4,3,1,7,1,2,1,12,4,0,0,5,15,0,2,0,0,2,0,0,0,2,1,3,0,2,0,0,0,0,0,1,0,0,0,1,2,0
97,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,1,2,1,0,2,3,1,0,0,1,1,0,0,2,3,4,2
